timestamp,message
1769073487797,"INIT_START Runtime Version: nodejs:24.v27	Runtime Version ARN: arn:aws:lambda:us-west-2::runtime:2fada9df902022a65c4ba098836cd6754ac2c6d6407669cd728227413346057b
"
1769073487866,"{""timestamp"":""2026-01-22T09:18:07.866559Z"",""level"":""INFO"",""message"":""[DASH0] listening on 0.0.0.0:9009"",""target"":""aws_lambda_runtime_api_proxy_rs""}
"
1769073487879,"{""timestamp"":""2026-01-22T09:18:07.879423Z"",""level"":""INFO"",""message"":""[DASH0:Extension] Registered with accountId: 285732642181"",""target"":""aws_lambda_runtime_api_proxy_rs::extension::register""}
"
1769073487881,"TELEMETRY	Name: lrap	State: Subscribed	Types: [Platform, Function]
"
1769073487881,"{""timestamp"":""2026-01-22T09:18:07.881956Z"",""level"":""INFO"",""message"":""[DASH0:Extension] Telemetry register uri=http://127.0.0.1:9001/2022-07-01/telemetry status=200 OK body=\""OK\"""",""target"":""aws_lambda_runtime_api_proxy_rs::extension::register""}
"
1769073487892,"starting execution of user handler
"
1769073488017,"[timing-loader] Initialized
"
1769073488060,"[timing] 10.0ms [new]	./baggage/utils	
"
1769073488084,"[timing] 35.2ms [new]	@opentelemetry/api@1.4.1	node_modules/@opentelemetry/api/build/src/index.js
"
1769073488089,"[timing] 47.0ms [new]	./baggage/propagation/W3CBaggagePropagator	
"
1769073488107,"[timing] 11.7ms [new]	../../utils/environment	
"
1769073488107,"[timing] 12.8ms [new]	./environment	
"
1769073488124,"[timing] 11.5ms [new]	@opentelemetry/semantic-conventions@1.17.1	node_modules/@opentelemetry/semantic-conventions/build/src/index.js
"
1769073488124,"[timing] 13.7ms [new]	./sdk-info	
"
1769073488127,"[timing] 33.2ms [new]	./node	
"
1769073488127,"[timing] 34.0ms [new]	../platform	
"
1769073488128,"[timing] 35.0ms [new]	./common/time	
"
1769073488150,"[timing] 109.2ms [new]	@opentelemetry/core@1.17.1	node_modules/@opentelemetry/core/build/src/index.js
"
1769073488181,"[timing] 10.9ms [new]	./sdk-info	
"
1769073488182,"[timing] 19.1ms [new]	./node	
"
1769073488182,"[timing] 19.6ms [new]	../platform	
"
1769073488182,"[timing] 20.0ms [new]	./common/time	
"
1769073488194,"[timing] 37.1ms [new]	@opentelemetry/core@1.17.1	node_modules/@opentelemetry/core/build/src/index.js
"
1769073488195,"[timing] 40.0ms [new]	../../OTLPExporterBase	
"
1769073488219,"[timing] 14.5ms [new]	https	https
"
1769073488223,"[timing] 27.8ms [new]	./util	
"
1769073488223,"[timing] 68.6ms [new]	./OTLPExporterNodeBase	
"
1769073488224,"[timing] 69.3ms [new]	./node	
"
1769073488226,"[timing] 71.6ms [new]	./platform	
"
1769073488228,"[timing] 75.0ms [new]	@opentelemetry/otlp-exporter-base@0.51.0	node_modules/@opentelemetry/otlp-exporter-base/build/src/index.js
"
1769073488259,"[timing] 19.0ms [new]	./node	
"
1769073488259,"[timing] 19.5ms [new]	../platform	
"
1769073488259,"[timing] 20.0ms [new]	./common/time	
"
1769073488272,"[timing] 39.3ms [new]	@opentelemetry/core@1.17.1	node_modules/@opentelemetry/core/build/src/index.js
"
1769073488272,"[timing] 40.0ms [new]	./common	
"
1769073488331,"[timing] 10.3ms [new]	./sdk-info	
"
1769073488332,"[timing] 17.7ms [new]	./node	
"
1769073488332,"[timing] 18.2ms [new]	../platform	
"
1769073488332,"[timing] 18.7ms [new]	./common/time	
"
1769073488347,"[timing] 44.3ms [new]	@opentelemetry/core@1.17.1	node_modules/@opentelemetry/core/build/src/index.js
"
1769073488347,"[timing] 45.1ms [new]	./LastValue	
"
1769073488349,"[timing] 56.4ms [new]	../aggregator	
"
1769073488349,"[timing] 57.8ms [new]	../view/Aggregation	
"
1769073488349,"[timing] 58.6ms [new]	./AggregationSelector	
"
1769073488350,"[timing] 61.1ms [new]	./export/MetricReader	
"
1769073488375,"[timing] 20.2ms [new]	@opentelemetry/resources@1.17.1	node_modules/@opentelemetry/resources/build/src/index.js
"
1769073488387,"[timing] 11.6ms [new]	./state/MeterProviderSharedState	
"
1769073488388,"[timing] 35.4ms [new]	./MeterProvider	
"
1769073488390,"[timing] 103.9ms [new]	@opentelemetry/sdk-metrics@1.24.0	node_modules/@opentelemetry/sdk-metrics/build/src/index.js
"
1769073488392,"[timing] 111.8ms [new]	./internal	
"
1769073488392,"[timing] 112.1ms [new]	./metrics	
"
1769073488394,"[timing] 164.5ms [new]	@opentelemetry/otlp-transformer@0.51.0	node_modules/@opentelemetry/otlp-transformer/build/src/index.js
"
1769073488396,"[timing] 356.9ms [new]	./OTLPTraceExporter	
"
1769073488396,"[timing] 357.5ms [new]	./node	
"
1769073488396,"[timing] 358.7ms [new]	./platform	
"
1769073488396,"[timing] 360.2ms [new]	@opentelemetry/exporter-trace-otlp-http@0.51.0	node_modules/@opentelemetry/exporter-trace-otlp-http/build/src/index.js
"
1769073488426,"[timing] 20.2ms [new]	./node	
"
1769073488426,"[timing] 20.8ms [new]	../platform	
"
1769073488426,"[timing] 21.2ms [new]	./common/time	
"
1769073488438,"[timing] 38.8ms [new]	@opentelemetry/core@1.17.1	node_modules/@opentelemetry/core/build/src/index.js
"
1769073488440,"[timing] 40.8ms [new]	./OTLPLogExporter	
"
1769073488440,"[timing] 41.4ms [new]	./node	
"
1769073488440,"[timing] 41.7ms [new]	./platform	
"
